,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
176,,H10 (Ariane 44L H10),24 Dec 2001,Propulsion,1991-075B,12.0,8.0,1129.0,30.0,24 Oct 2018,
177,,H10 (Ariane 2),09 Jul 2002,Propulsion,1988-040B,7.0,7.0,659.0,17.0,24 Oct 2018,
178,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),18 Apr 1999,Propulsion,1989-100B,25.0,,2352.0,62.0,24 Oct 2018,
179,,H10 (Ariane 44L H10),02 Feb 2002,Propulsion,1992-041C,6.0,1.0,564.0,15.0,24 Oct 2018,
180,,Proton-K/DM-2 ullage motor (SOZ),04 Aug 2003,Propulsion,1988-085F,78.0,9.0,,,04 Dec 2017,
181,,Cosmos-2399,09 Dec 2003,Deliberate,2003-035A,21.0,,1976.0,51.0,24 Oct 2018,
182,,Proton-K/DM-2 ullage motor (SOZ),21 Feb 2003,Propulsion,1990-110G,1.0,1.0,193.0,6.0,24 Oct 2018,
183,,Proton-K/DM-2 ullage motor (SOZ),23 Apr 2003,Propulsion,1987-079H,54.0,19.0,,,04 Dec 2017,
184,,Cosmos-2383,28 Feb 2004,Unknown,2001-057A,13.0,,1223.0,32.0,24 Oct 2018,
185,,Molniya 3-16,05 Feb 1998,Aerodynamics,1981-054A,,,,,04 Dec 2017,
186,,H10 (Ariane 3),20 Nov 1984,Propulsion,1984-114C,1.0,1.0,188.0,5.0,24 Oct 2018,
187,,Proton-K/DM-2 ullage motor (SOZ),13 Nov 2003,Propulsion,1989-001H,14.0,4.0,,,04 Dec 2017,
188,,Cosmos-41 fragmentation debris,30 Dec 2002,Aerodynamics,1964-049F,,,,,04 Dec 2017,
189,,Proton-K/DM-2 ullage motor (SOZ),01 Jul 1992,Propulsion,1989-101E,14.0,3.0,1318.0,34.0,24 Oct 2018,
190,,Blok-ML (Molniya-M Blok-ML),13 Jan 2003,Aerodynamics,1985-103D,,,,,04 Dec 2017,
191,,Cosmos-1849,27 Jan 2003,Aerodynamics,1987-048A,,,,,04 Dec 2017,
192,,Molniya 3-35,14 Dec 2001,Aerodynamics,1989-043A,,,,,04 Dec 2017,
193,,DMSP Block 5D-2 F11,15 Apr 2004,Electrical,1991-082A,84.0,64.0,9680.0,251.0,24 Oct 2018,
194,,Proton-K/DM-2 ullage motor (SOZ),10 Jul 2004,Propulsion,1992-047G,36.0,13.0,,,04 Dec 2017,
195,,Proton-K/DM-2 ullage motor (SOZ),29 Oct 2004,Propulsion,2002-037F,60.0,,,,04 Dec 2017,
196,,Cosmos-1030,15 Aug 2004,Aerodynamics,1978-083A,12.0,9.0,1129.0,30.0,24 Oct 2018,
197,,Briz-M auxiliary tank (DTB),17 Jun 2015,Aerodynamics,2014-064C,,,,,04 Dec 2017,
198,,Beidou DW 2,29 Jun 2016,Propulsion,2009-018A,,,,,04 Dec 2017,
199,,RISAT-1,30 Sep 2016,Anomalous,2012-017A,12.0,,,,04 Dec 2017,
200,,Proton-K/DM-2 ullage motor (SOZ),28 Mar 1999,Propulsion,1990-045G,,,,,04 Dec 2017,
201,,DMSP Block 5D-2 F12,23 Oct 2016,Anomalous,1994-057A,1.0,1.0,,,04 Dec 2017,
202,,Proton-K/DM-2 ullage motor (SOZ),27 Jul 2016,Propulsion,2006-062G,8.0,7.0,753.0,20.0,24 Oct 2018,
203,,Sentinel-1A,23 Aug 2016,Collision,2014-016A,7.0,3.0,,,04 Dec 2017,
204,,Fregat operational debris (SBB),04 Aug 2015,Unknown,2011-037B,,,,,04 Dec 2017,
205,,Briz-M (Proton-M/Briz-M),16 Jan 2016,Propulsion,2015-075B,6.0,6.0,9537.0,247.0,24 Oct 2018,
206,,Briz-M auxiliary tank (DTB),23 Dec 2015,Propulsion,2012-026C,10.0,10.0,15889.0,411.0,24 Oct 2018,
207,,Proton-M/DM-2 ullage motor (SOZ),26 Mar 2016,Propulsion,2008-067G,21.0,14.0,1399.0,37.0,24 Oct 2018,
208,,COBE,01 Jan 1993,Anomalous,1989-089A,102.0,2.0,,,04 Dec 2017,
209,,Hitomi (ASTRO-H),26 Mar 2016,Accidental,2016-012A,12.0,9.0,1129.0,30.0,24 Oct 2018,
210,,Proton-M/DM-2 ullage motor (SOZ),01 Jun 2016,Propulsion,2008-067H,14.0,14.0,,,04 Dec 2017,
211,,L-14 (YF40A) (Long March (CZ) 4),04 Oct 1990,Propulsion,1990-081D,106.0,78.0,12693.0,328.0,24 Oct 2018,
212,,Molniya-1T,15 Apr 2016,Aerodynamics,2004-005A,2.0,,,,04 Dec 2017,
213,,Titan Transtage (OV2 3) (Titan IIIC),21 Dec 1965,Propulsion,1965-108A,108.0,101.0,10157.0,264.0,24 Oct 2018,
214,,Blok-L (Molniya),04 Apr 2004,Aerodynamics,1964-049E,8.0,,753.0,20.0,24 Oct 2018,
215,,H8 (Ariane 1),13 Nov 1986,Propulsion,1986-019C,497.0,31.0,56037.0,1442.0,24 Oct 2018,
216,,Cosmos-2101,30 Nov 1990,Deliberate,1990-087A,3.0,,282.0,8.0,24 Oct 2018,
217,,Proton-K/DM-2 ullage motor (SOZ),14 Dec 1995,Propulsion,1990-102E,1.0,1.0,188.0,5.0,24 Oct 2018,
218,,Proton-K/DM-2 ullage motor (SOZ),22 Apr 2005,Propulsion,1992-088E,1.0,,,,04 Dec 2017,
219,,Cosmos-1043,21 Feb 1993,Anomalous,1978-094A,1.0,,,,04 Dec 2017,
220,,Meteor 2-12,04 Feb 2005,Anomalous,1985-013A,1.0,1.0,,,04 Dec 2017,
221,,L-14B-res (YF40B-res) (Long March (CZ) 4C),10 Apr 2012,Unknown,2010-051C,4.0,2.0,,,04 Dec 2017,
222,,Zenit-2 second stage,08 Sep 1999,Propulsion,1993-059B,4.0,,459.0,12.0,24 Oct 2018,
223,,Meteor 2-21,23 Jun 2015,Unconfirmed,1993-055A,2.0,2.0,,,04 Dec 2017,
224,,Seasat 1,30 May 2008,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
225,,DMSP Block 5D-2 F10,01 Dec 1990,Propulsion,1990-105A,27.0,1.0,2861.0,74.0,24 Oct 2018,
226,,H-II LE-5B (H-IIA 202),18 May 2012,Unknown,2012-025E,6.0,,,,04 Dec 2017,
227,,L-14B-res (YF40B-res) (Long March (CZ) 4C),12 May 2012,Unknown,2009-072C,5.0,5.0,,,04 Dec 2017,
228,,Seasat 1,21 Feb 1988,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
229,,Transit 14 (NNS O-10),08 Jun 2001,Anomalous,1966-076A,5.0,2.0,,,04 Dec 2017,
230,,ERS-1,03 Jun 2009,Anomalous,1991-050A,10.0,6.0,,,04 Dec 2017,
231,,Hubble Space Telescope,05 Aug 2003,Anomalous,1990-037B,1.0,,,,04 Dec 2017,
232,,Meteor 2-9,08 Feb 2005,Anomalous,1982-116A,4.0,4.0,,,04 Dec 2017,
233,,Delta IV DCSS 5 (Delta 4H),12 May 2014,Anomalous,2014-077B,1.0,,,,04 Dec 2017,
234,,Transit 12 (NNS O-8),15 Jul 1981,Anomalous,1966-024A,4.0,2.0,,,04 Dec 2017,
235,,L-14B-res (YF40B-res) (Long March (CZ) 4C),14 May 2012,Unknown,2010-059B,5.0,5.0,,,04 Dec 2017,
236,,Proton-K/DM-2 ullage motor (SOZ),14 Mar 1998,Propulsion,1990-110H,1.0,1.0,,,04 Dec 2017,
237,,NOAA-14 debris,01 Mar 1995,Electrical,1994-089D,3.0,1.0,,,04 Dec 2017,
238,,Transit 16 (NNS O-13),12 Feb 1995,Anomalous,1967-048A,3.0,1.0,,,04 Dec 2017,
239,,H10 (Ariane 40 H10),01 Apr 2001,Propulsion,1991-050F,1.0,,219.0,6.0,24 Oct 2018,
240,,IUS first stage (Atlantis (OV-104)),02 Aug 1991,Unknown,1991-054C,,,,,04 Dec 2017,
241,,Transit 17 (NNS O-14),15 Apr 1981,Anomalous,1967-092A,7.0,,,,04 Dec 2017,
242,,L-14B (YF40B) (Long March (CZ) 4B),04 Sep 2005,Unknown,2004-044B,5.0,,,,04 Dec 2017,
243,,Snapshot (NPP) + Atlas SLV-3 Agena D stage 2 fragmentation debris,15 Aug 1981,Anomalous,1965-027A,157.0,157.0,,,04 Dec 2017,
244,,ERS-2,19 Oct 2003,Anomalous,1995-021A,6.0,4.0,,,04 Dec 2017,
245,,Dodecapole 2,16 Aug 2016,Unconfirmed,1965-065C,1.0,,,,04 Dec 2017,
246,,OPS 0856 (RTS-1 2),16 Jun 1992,Anomalous,1966-077A,25.0,25.0,,,04 Dec 2017,
247,,H10 (Ariane 44L H10),30 Apr 1996,Propulsion,1991-003C,14.0,12.0,1318.0,34.0,24 Oct 2018,
248,,L-14B (YF40B) (Long March (CZ) 4B),22 Jun 2009,Unknown,2008-064B,5.0,,,,04 Dec 2017,
249,,H-II LE-5B (H-IIA 2024),10 Sep 2002,Unknown,2002-042D,1.0,,,,04 Dec 2017,
250,,Meteor 2-15,13 Mar 2006,Anomalous,1987-001A,1.0,1.0,,,04 Dec 2017,
251,,Snapshot (NPP) + Atlas SLV-3 Agena D stage 2 fragmentation debris,15 Aug 1983,Anomalous,1965-027A,157.0,157.0,,,04 Dec 2017,
252,,Transit 5B-6 (NNS 30040 - OPS 8480),15 Jun 1981,Anomalous,1965-048A,9.0,,,,04 Dec 2017,
253,,Blok-DM-2 (Proton-K/DM-2),17 Oct 2002,Unconfirmed,2002-048C,4.0,,,,04 Dec 2017,
254,,DMSP Block 5D-2 F6,22 Jun 2009,Electrical,1982-118A,7.0,6.0,781.0,21.0,24 Oct 2018,
255,,Seasat 1,24 Dec 2002,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
256,,"Delta IV DCSS 4 (Delta 4M+(4,2))",20 Apr 2015,Anomalous,2015-013B,4.0,1.0,,,04 Dec 2017,
257,,Blok-DM-2M (Proton-K/DM-2M),14 Jun 2012,Propulsion,1996-021D,2.0,2.0,3170.0,82.0,24 Oct 2018,
258,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),05 Mar 1991,Propulsion,1991-009J,110.0,110.0,20369.0,525.0,24 Oct 2018,
259,,Start-4 (Start 1 SL-18),20 Feb 2001,Anomalous,2001-007B,7.0,,,,04 Dec 2017,
260,,Transit 11 (NNS O-7),15 Apr 1980,Anomalous,1966-005A,7.0,1.0,,,04 Dec 2017,
261,,H-II LE-5B (H-IIA 202),17 Aug 2010,Unknown,2009-066B,5.0,,,,04 Dec 2017,
262,,H8 (Ariane 1),04 Jul 1984,Propulsion,1984-023B,8.0,7.0,659.0,17.0,24 Oct 2018,
263,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),15 Jun 1987,Anomalous,1971-003B,1.0,,,,04 Dec 2017,
264,,Ayame 1,06 Feb 1979,Collision,1979-009A,4.0,3.0,3093.0,157.0,24 Oct 2018,
265,,Cosmos-1658,04 Nov 2005,Aerodynamics,1985-045A,1.0,,,,04 Dec 2017,
266,,Fobos-Grunt,29 Nov 2011,Anomalous,2011-065A,3.0,,,,04 Dec 2017,
267,,DMSP F-18 (USA 210),23 Nov 2009,Electrical,2009-057A,2.0,2.0,233.0,6.0,24 Oct 2018,
268,,Altair 2 (Scout X-4),15 Apr 2015,Anomalous,1964-051B,1.0,1.0,,,04 Dec 2017,
269,,Proton-K/DM-2 ullage motor (SOZ),07 May 1994,Propulsion,1991-010D,3.0,,282.0,8.0,24 Oct 2018,
270,,Columbia (STS-107),17 Jan 2003,Accidental,2003-003A,1.0,,,,04 Dec 2017,
271,,Delta II second stage (Delta 7925),06 Dec 1995,Anomalous,1995-041B,1.0,,,,04 Dec 2017,
272,,L-14B (YF40B) (Long March (CZ) 4B),24 Oct 2006,Unknown,2006-046C,8.0,5.0,,,04 Dec 2017,
273,,SARA,15 Oct 2006,Anomalous,1991-050E,10.0,6.0,,,04 Dec 2017,
274,,Star 37D (Delta J),09 Jun 1986,Propulsion,1968-055B,18.0,13.0,1356.0,35.0,24 Oct 2018,
275,,Cosmos-1188,05 Jan 2001,Accidental,1980-050A,7.0,6.0,3083.0,171.0,24 Oct 2018,
276,,OPS 0856 (RTS-1 2),23 Jun 1992,Anomalous,1966-077A,25.0,25.0,,,04 Dec 2017,
277,,H-II LE-5B (H-IIA 202),03 Mar 2014,Unknown,2014-009J,1.0,,,,04 Dec 2017,
278,,Ayame 2,22 Feb 1980,Unknown,1980-018A,3.0,3.0,3129.0,124.0,24 Oct 2018,
279,,Progress M-27M,28 Apr 2015,Accidental,2015-024A,20.0,,1881.0,49.0,24 Oct 2018,
280,,H10 (Ariane 44LP H10),27 Apr 1994,Propulsion,1991-015C,11.0,8.0,1035.0,27.0,21 Jul 2020,
281,,Okean 3,12 Oct 1998,Anomalous,1991-039A,1.0,,,,04 Dec 2017,
282,,Zenit-2 second stage,26 Apr 2006,Propulsion,2004-021B,3.0,3.0,349.0,9.0,24 Oct 2018,
283,,Transit 11 (NNS O-7),15 Sep 1980,Anomalous,1966-005A,6.0,1.0,,,04 Dec 2017,
284,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),15 Nov 1990,Anomalous,1968-019B,1.0,,,,04 Dec 2017,
285,,SARA,22 Aug 2003,Anomalous,1991-050E,10.0,6.0,,,04 Dec 2017,
286,,H-II LE-5B (H-IIA 202),24 Jan 2009,Unknown,2009-002J,10.0,,,,04 Dec 2017,
287,,Ariane 1 debris,23 Jun 1983,Propulsion,1983-058E,3.0,,,,04 Dec 2017,
288,,L-14B-res (YF40B-res) (Long March (CZ) 4C),01 Sep 2013,Unknown,2013-046D,2.0,2.0,,,04 Dec 2017,
289,,H10 (Ariane 3),20 Dec 1999,Propulsion,1988-018C,1.0,,188.0,5.0,24 Oct 2018,
290,,Transit 5B-2 (NPP),09 Jan 1998,Anomalous,1963-049B,1.0,,,,04 Dec 2017,
291,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),09 Oct 1999,Propulsion,1991-068G,39.0,39.0,3078.0,176.0,24 Oct 2018,
292,,Transit 17 (NNS O-14),15 Aug 1986,Anomalous,1967-092A,7.0,,,,04 Dec 2017,
293,,Cosmos-1382,30 Jun 2003,Accidental,1982-064A,4.0,3.0,3144.0,108.0,24 Oct 2018,
294,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),05 May 2002,Anomalous,1985-090B,1.0,,,,04 Dec 2017,
295,,Meteor 2-7,04 Mar 2004,Anomalous,1981-043A,17.0,12.0,,,04 Dec 2017,
296,,Tiros N,15 Sep 1987,Electrical,1978-096A,7.0,2.0,808.0,21.0,24 Oct 2018,
297,,Cosmos-1341,15 Feb 2009,Accidental,1982-016A,2.0,2.0,3170.0,82.0,24 Oct 2018,
298,,H10 (Ariane 3),21 Oct 1988,Propulsion,1988-063C,5.0,3.0,376.0,10.0,24 Oct 2018,
299,,H10 (Ariane 2),06 Nov 1988,Propulsion,1988-098B,9.0,3.0,753.0,20.0,24 Oct 2018,
300,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),30 Jul 1996,Anomalous,1988-032B,2.0,1.0,,,04 Dec 2017,
301,,Cosmos-1409,30 May 2008,Accidental,1982-095A,3.0,,209.0,6.0,24 Oct 2018,
302,,Cosmos-2163,06 Dec 1991,Deliberate,1991-071A,,,,,04 Dec 2017,
303,,H10+ (Ariane 42P H10+),09 Nov 1992,Unconfirmed,1992-072B,28.0,23.0,,,04 Dec 2017,
304,,Kyokko,15 Jun 1992,Anomalous,1978-014A,6.0,4.0,,,04 Dec 2017,
305,,FUSE,06 Jun 2004,Anomalous,1999-035A,9.0,,,,04 Dec 2017,
306,,H-8 (Long March (CZ) 3),17 May 1992,Unknown,1986-010B,7.0,3.0,282.0,8.0,24 Oct 2018,
307,,Seasat 1,22 Nov 1987,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
308,,Boost motor (USA 89) (Discovery (OV-103)),30 Jun 1997,Unconfirmed,1992-086C,13.0,13.0,,,04 Dec 2017,
309,,L-14B (YF40B) (Long March (CZ) 4B),14 May 2012,Unknown,2011-079B,4.0,4.0,,,04 Dec 2017,
310,,Transit 5C,15 May 1994,Anomalous,1964-026A,4.0,,,,04 Dec 2017,
311,,Snapshot (NPP) + Atlas SLV-3 Agena D stage 2 fragmentation debris,15 Mar 1983,Anomalous,1965-027A,157.0,157.0,,,04 Dec 2017,
312,,L-14B (YF40B) (Long March (CZ) 4B),10 May 2012,Unknown,2012-021C,2.0,,,,04 Dec 2017,
313,,Cosmos-1769,21 Sep 1987,Unknown,1986-059A,3.0,,282.0,8.0,24 Oct 2018,
314,,H10+ (Ariane 44L H10+),21 Apr 1993,Propulsion,1992-021C,17.0,16.0,1599.0,42.0,24 Oct 2018,
315,,DMSP Block 5D-2 F9,05 Feb 1988,Electrical,1988-006A,12.0,2.0,800.0,21.0,24 Oct 2018,
316,,Altair 3 (Scout B-1),18 Oct 2005,Anomalous,1965-063B,28.0,27.0,,,04 Dec 2017,
317,,"Delta IV DCSS 4 (Delta 4M+(4,2))",22 May 2014,Anomalous,2014-026B,14.0,,,,04 Dec 2017,
318,,RADCAL,21 Jun 2009,Unconfirmed,1993-041A,4.0,3.0,,,04 Dec 2017,
319,,Tiros N,23 Feb 1996,Electrical,1978-096A,7.0,2.0,808.0,21.0,24 Oct 2018,
320,,Transit 11 (NNS O-7),15 Jul 1983,Anomalous,1966-005A,6.0,1.0,,,04 Dec 2017,
321,,Seasat 1,05 Oct 1987,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
322,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),15 Nov 1990,Anomalous,1964-053B,1.0,1.0,,,04 Dec 2017,
323,,Nimbus 2,08 Nov 1997,Anomalous,1966-040A,56.0,56.0,,,04 Dec 2017,
324,,Transit 19 (NNS 19),07 Mar 1998,Anomalous,1970-067A,1.0,,,,04 Dec 2017,
325,,Proton-K/DM-2 ullage motor (SOZ),08 Nov 1994,Propulsion,1992-047H,36.0,13.0,3163.0,89.0,24 Oct 2018,
326,,DELTA P (Delta 1410),11 Mar 1978,Propulsion,1975-027B,3.0,2.0,348.0,9.0,24 Oct 2018,
327,,Seasat 1,06 Nov 1997,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
328,,L-14B (YF40B) (Long March (CZ) 4B),23 Mar 2015,Unknown,2013-057B,4.0,4.0,,,04 Dec 2017,
329,,Meteor 1-10,03 May 1976,Anomalous,1971-120A,17.0,,,,04 Dec 2017,
330,,Seasat 1,19 Jan 2004,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
331,,CENTAUR (Atlas IIAS),23 Feb 1998,Unknown,1997-036B,1.0,,,,04 Dec 2017,
332,,L-14B (YF40B) (Long March (CZ) 4B),15 Feb 2002,Unknown,2002-024C,7.0,5.0,,,04 Dec 2017,
333,,OPS 0856 (RTS-1 2),15 Mar 1991,Anomalous,1966-077A,25.0,25.0,,,04 Dec 2017,
334,,H10 (Ariane 40 H10),04 Jan 1994,Propulsion,1993-061H,2.0,1.0,223.0,6.0,24 Oct 2018,
335,,Delta IV DCSS 4 (Delta 4M),12 Mar 2003,Anomalous,2003-008B,4.0,4.0,,,04 Dec 2017,
336,,Cosmos-2225,18 Feb 1993,Deliberate,1992-091A,5.0,,470.0,13.0,24 Oct 2018,
337,,NOAA 6,15 Sep 1992,Electrical,1979-057A,5.0,1.0,556.0,15.0,24 Oct 2018,
338,,ATLAS E/F (Atlas E),29 Jan 1996,Unknown,1983-072B,3.0,1.0,485.0,13.0,24 Oct 2018,
339,,SN 43 (Transit VE-5),16 Dec 1966,Anomalous,1964-083C,9.0,5.0,,,04 Dec 2017,
340,,"NNS O-23 (OSCAR 23, Transit-O 23)",21 Oct 2008,Unknown,1988-033A,1.0,1.0,,,04 Dec 2017,
341,,Snapshot (NPP) + Atlas SLV-3 Agena D stage 2 fragmentation debris,01 Nov 1979,Anomalous,1965-027A,157.0,157.0,,,04 Dec 2017,
342,,Seasat 1,08 Jan 1995,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
343,,DMSP Block 5D-2 F7,04 Dec 1983,Electrical,1983-113A,3.0,,341.0,9.0,24 Oct 2018,
344,,H8 (Ariane 1),07 Jun 1987,Propulsion,1985-056B,13.0,8.0,1223.0,32.0,24 Oct 2018,
345,,Seasat 1,17 Aug 2005,Anomalous,1978-064A,16.0,,,,04 Dec 2017,
346,,NNS O-18 insulation,15 Jun 2009,Anomalous,1968-012F,1.0,1.0,,,04 Dec 2017,
347,,Zenit-2 second stage fragmentation debris,26 Dec 1992,Propulsion,1992-093B,279.0,196.0,32459.0,837.0,24 Oct 2018,
348,,Vostok 8A92M-2 (Vostok SL-3 (A-1)),15 Oct 1996,Anomalous,1981-043B,1.0,,,,04 Dec 2017,
349,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),09 Apr 2003,Unconfirmed,1981-120G,12.0,12.0,,,04 Dec 2017,
350,,Resurs-O1 N3,09 Aug 2006,Unconfirmed,1994-074A,30.0,1.0,,,04 Dec 2017,
351,,Transit 13 (NNS O-9),02 Apr 2004,Unknown,1966-041A,3.0,2.0,346.0,9.0,24 Oct 2018,
352,,SPOT-4 debris,06 May 2011,Anomalous,1998-017C,3.0,,,,04 Dec 2017,
353,,SARA,17 Apr 2005,Anomalous,1991-050E,10.0,6.0,,,04 Dec 2017,
